V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,class,target
12.31,2.82,13.94,32.23,11.35,11.35,4.96,16.09,3.21,12.11,nan,15.25,nan,16.88,9.13,7.53,22.78,45.61,14.81,4.82,38.03,41.51,16.50,22.19,5.11,37.25,12.71,18.41,32.86,nan,10.90,4.61,36.74,44.91,8.61,9.05,2,0.4067
11.88,3.61,14.32,32.47,10.62,6.81,2.74,13.34,3.29,9.51,17.12,24.03,25.30,13.00,1.30,12.09,24.06,51.34,13.64,4.45,48.35,33.70,nan,8.94,3.60,58.38,10.73,18.98,39.63,14.76,9.44,nan,nan,60.70,8.58,8.16,5,0.4273
17.07,2.95,11.17,22.21,9.16,18.00,4.34,16.59,2.78,10.65,18.70,3.96,40.68,10.37,1.91,15.95,14.44,nan,0.00,5.06,23.58,49.49,6.45,2.84,nan,56.58,6.84,38.57,81.60,21.48,11.83,5.05,22.42,48.31,15.61,4.34,3,0.4320
9.45,2.33,8.55,22.65,8.41,14.45,2.55,16.99,3.50,10.83,21.08,8.80,28.62,13.48,6.80,5.92,2.03,54.14,15.56,3.32,35.89,43.94,18.36,10.70,5.11,54.30,14.66,41.27,67.08,11.97,19.78,2.36,60.25,13.02,12.96,6.15,4,0.4386
16.29,5.08,16.44,43.78,6.60,3.54,4.61,10.44,1.92,10.30,20.47,13.36,23.48,13.45,8.84,2.45,17.35,38.81,6.77,5.48,27.99,66.67,13.68,20.35,nan,39.27,9.90,24.52,55.75,nan,14.99,2.64,30.10,40.69,6.59,3.37,0,0.3867
7.06,3.90,12.22,49.50,10.92,5.86,3.29,17.19,3.15,13.06,12.38,14.28,32.80,10.15,8.72,5.86,19.75,35.58,9.92,2.81,28.70,56.36,16.15,20.00,4.08,28.25,12.40,17.38,33.14,12.31,9.05,1.92,34.43,37.56,2.49,nan,3,0.3773
10.25,5.55,10.12,40.11,15.74,9.04,3.68,13.78,4.73,18.48,12.24,17.25,33.52,11.12,10.84,11.12,20.23,34.90,11.09,4.39,23.67,52.48,18.74,14.26,3.82,34.90,nan,24.34,34.67,17.24,nan,4.69,24.64,30.35,3.97,13.55,3,0.3814
13.29,5.29,15.65,36.94,nan,7.51,2.92,18.36,5.48,9.13,16.58,14.24,33.82,13.39,8.81,9.33,16.28,41.03,16.17,4.90,40.69,46.39,12.05,17.84,3.14,50.25,11.97,18.22,39.36,16.02,12.87,3.34,44.38,43.15,8.64,9.58,4,0.4300
11.14,3.73,7.92,nan,11.02,9.88,2.86,14.45,2.69,12.00,14.84,19.50,29.61,13.59,11.44,11.97,19.58,46.22,12.20,3.24,nan,41.10,11.64,16.03,2.90,36.58,12.39,27.89,31.18,nan,8.64,3.19,28.05,44.22,8.70,12.33,3,0.3851
6.77,3.69,10.34,23.60,6.10,16.50,2.80,21.52,2.75,1.26,7.56,8.48,48.29,20.65,10.58,12.95,5.92,40.93,13.69,3.65,52.27,33.29,13.84,10.85,1.99,30.13,12.51,30.05,nan,nan,12.93,2.99,54.72,36.74,4.66,nan,3,0.4168
8.84,3.80,12.00,33.81,10.50,8.14,3.11,15.40,2.97,nan,18.47,13.23,19.62,7.66,14.04,7.11,20.54,nan,12.45,4.97,26.42,54.02,8.74,20.85,1.70,40.94,12.94,33.89,36.78,12.79,nan,nan,29.24,39.56,12.35,6.74,2,0.3901
13.32,5.18,4.89,13.00,11.69,9.56,4.95,5.35,4.50,7.87,6.92,17.33,24.88,6.92,5.96,12.55,4.90,24.24,19.34,4.69,nan,76.03,15.75,nan,3.86,35.24,13.16,22.71,44.53,8.49,4.51,4.14,35.27,32.93,10.12,8.22,5,0.3831
14.92,1.44,13.05,35.15,8.56,13.97,3.54,13.84,3.40,8.93,23.04,10.89,42.32,11.78,6.46,8.71,13.85,56.58,11.53,3.65,31.51,28.46,16.88,15.95,3.66,48.65,13.22,29.01,67.61,22.48,20.70,2.98,49.21,40.28,14.21,8.86,4,0.4506
14.33,3.05,15.01,29.41,8.49,10.61,5.09,14.36,5.28,11.42,19.23,9.57,nan,11.72,10.94,nan,10.44,33.48,10.09,5.74,30.47,63.85,13.63,14.53,4.37,41.42,9.95,nan,60.85,11.06,12.15,2.30,27.44,26.26,3.35,6.73,0,0.3884
16.72,nan,11.16,43.76,8.72,7.75,2.74,16.20,5.03,4.95,23.34,17.23,35.08,12.59,9.43,3.09,10.05,52.34,11.79,2.41,38.88,44.68,12.06,18.92,4.15,43.24,6.88,27.63,65.89,nan,17.88,3.23,37.33,35.30,6.64,9.55,4,0.4283
9.58,4.24,13.02,nan,8.22,13.16,4.14,nan,1.53,nan,19.49,18.93,23.99,12.07,9.34,6.33,15.11,44.38,16.45,4.53,30.86,48.96,14.71,20.44,2.32,30.46,8.03,24.80,43.78,11.41,8.86,1.55,36.49,40.43,8.87,10.41,4,0.3830
12.28,2.92,nan,14.05,8.74,12.85,5.52,12.19,3.60,7.31,21.26,17.73,26.16,12.03,17.56,10.00,18.73,44.18,9.48,2.73,25.71,41.30,9.19,nan,4.20,25.38,12.56,34.43,39.19,12.65,9.79,nan,19.81,46.78,11.19,11.56,2,0.3624
10.15,5.68,12.68,37.04,12.65,11.55,4.90,19.82,4.17,9.65,18.50,16.45,34.51,11.27,10.38,2.07,5.31,nan,17.21,4.65,39.23,48.73,16.35,17.96,2.82,35.01,nan,22.29,46.24,19.93,8.16,2.36,46.55,24.55,3.46,17.22,4,0.4112
nan,4.99,nan,28.26,12.83,7.48,5.31,8.50,3.30,8.75,21.98,9.37,26.01,15.31,10.82,6.59,8.48,32.65,16.10,5.39,34.29,33.57,18.93,11.52,1.42,nan,17.02,36.07,63.17,14.86,22.68,2.77,71.98,22.57,9.96,14.08,0,0.4232
11.68,5.25,14.29,29.92,5.69,8.68,3.56,11.68,4.43,8.72,14.45,14.28,20.92,7.35,13.97,6.57,16.25,20.25,16.57,3.99,31.07,47.77,12.08,10.48,4.15,31.00,9.27,34.59,51.87,19.13,9.19,3.83,36.42,28.36,4.55,11.06,4,0.3609
16.32,3.97,11.51,8.88,5.43,14.17,6.33,11.27,2.69,14.44,21.83,11.15,21.90,8.82,7.41,9.15,17.67,41.22,14.94,2.49,24.72,50.19,12.05,22.12,4.52,37.70,17.02,35.59,47.36,9.24,12.76,2.89,25.96,42.10,10.35,14.58,0,0.3838
14.08,3.91,5.84,52.04,16.63,0.69,6.73,18.09,4.31,15.03,8.82,22.52,37.90,13.92,7.84,8.76,15.71,40.47,15.46,1.44,36.70,64.27,20.77,25.63,nan,nan,14.28,5.74,14.48,9.94,8.81,3.41,34.74,32.62,6.71,7.17,5,0.4213
18.34,4.16,12.36,36.70,14.62,12.29,3.12,19.59,1.47,nan,19.07,7.84,46.80,14.15,8.17,10.77,15.90,39.11,5.15,4.47,39.71,51.96,13.36,12.88,2.91,44.04,nan,24.61,59.76,14.35,10.65,3.72,24.30,35.47,3.45,10.13,4,0.4170
10.60,3.97,9.91,40.71,11.09,19.26,3.77,18.14,6.14,7.27,8.84,10.65,55.06,nan,4.44,6.84,8.36,58.04,6.37,3.70,47.15,52.77,15.89,nan,3.51,32.95,2.39,42.75,72.66,10.55,20.86,2.18,48.92,nan,nan,11.98,3,0.4574
13.27,5.15,5.08,24.84,13.43,17.68,4.80,12.88,2.86,7.89,4.15,25.38,55.25,15.09,14.19,10.35,8.89,34.97,6.67,4.86,37.25,41.76,19.73,8.78,nan,21.80,9.66,31.24,36.64,20.33,4.72,nan,37.83,31.47,nan,13.93,5,0.4034
8.40,3.57,5.60,43.77,13.57,11.74,4.87,23.29,3.78,13.58,17.00,15.84,40.57,5.65,11.95,13.76,17.81,56.17,nan,2.92,25.36,38.64,16.47,17.04,3.77,44.31,6.76,26.80,42.27,13.92,12.99,3.67,24.51,24.41,6.40,11.97,0,0.4066
11.01,4.72,6.50,33.15,13.71,3.46,2.02,9.59,1.33,13.62,21.75,9.31,4.10,11.01,12.52,6.48,17.52,47.76,16.42,4.11,31.97,57.60,nan,13.90,3.74,nan,7.51,nan,63.39,14.32,17.54,4.79,27.53,19.17,5.98,6.15,0,0.3790
11.36,1.22,13.17,36.27,12.11,10.21,4.43,13.59,3.85,11.97,20.42,20.04,31.32,12.67,8.80,6.63,17.87,42.04,14.44,5.33,34.54,37.89,nan,16.77,1.57,39.50,11.37,21.19,42.73,16.93,10.47,2.80,41.60,38.51,7.49,12.10,4,0.4071
13.27,2.46,4.32,33.09,15.63,4.77,3.85,9.36,3.99,nan,10.00,20.35,34.40,5.00,5.32,10.51,10.10,39.02,8.42,2.84,25.03,76.46,13.86,20.93,6.43,40.06,12.28,17.13,42.59,4.78,8.42,3.75,30.93,39.54,11.70,9.83,5,0.3999
14.09,3.54,8.52,39.02,16.92,6.90,4.35,12.67,3.02,7.86,3.65,22.06,33.16,11.30,7.50,2.36,21.09,37.25,15.14,3.22,56.12,53.08,10.27,11.65,4.94,40.95,10.51,30.19,30.11,14.33,12.97,4.31,60.79,36.96,14.81,12.88,5,0.4415
9.05,4.69,12.11,20.49,8.79,8.57,4.21,12.33,4.25,11.35,12.38,20.95,13.17,7.75,15.02,3.56,13.34,nan,14.84,5.05,34.64,nan,10.42,5.73,nan,39.57,11.87,42.04,36.55,9.14,8.10,3.66,46.27,19.84,10.50,8.71,1,0.3672
10.52,3.86,11.78,24.74,3.19,14.95,2.77,18.46,2.50,9.85,20.80,12.41,nan,14.84,8.33,2.31,11.98,40.96,12.60,4.20,30.28,46.53,17.87,18.02,2.41,25.17,nan,nan,47.14,13.38,6.60,2.82,nan,32.86,6.38,10.55,4,0.3693
10.80,4.37,11.65,39.99,15.13,15.21,4.76,19.88,2.36,11.85,4.04,23.43,47.28,15.99,12.52,10.39,30.03,44.81,20.05,3.31,72.66,23.45,13.99,13.37,3.45,45.55,11.04,37.53,14.07,8.64,20.06,3.12,57.80,32.66,nan,9.29,1,0.4641
9.14,4.39,14.21,33.27,8.53,13.63,2.85,12.39,2.25,9.27,15.67,18.51,39.13,10.51,5.96,8.35,14.15,44.14,11.20,3.19,38.80,40.92,16.07,nan,3.29,40.48,14.13,26.19,48.66,10.68,15.33,4.20,52.16,40.46,9.26,8.36,1,0.4250
8.53,4.04,13.34,27.24,11.85,10.19,4.73,11.72,0.81,10.36,16.67,12.47,27.62,10.34,12.68,7.98,10.78,32.43,14.47,5.69,24.21,53.56,16.94,17.43,1.98,33.34,13.01,26.66,46.52,15.57,10.74,2.89,43.37,31.48,10.31,11.58,0,0.3854
10.64,4.71,13.00,6.77,7.42,nan,3.90,10.69,1.05,15.49,20.89,13.11,11.43,23.67,12.68,9.85,19.98,59.59,9.55,2.76,26.06,58.59,10.49,21.21,3.41,nan,11.13,38.85,32.61,3.11,13.12,1.04,23.48,49.63,13.12,3.83,4,0.3713
8.94,5.04,17.12,48.43,16.56,12.64,5.52,22.49,3.50,18.42,7.54,23.74,44.03,11.65,nan,13.97,31.89,50.72,19.48,5.17,nan,29.38,11.36,16.42,3.43,63.02,14.52,29.23,4.85,9.25,18.73,4.50,48.42,40.06,6.17,5.20,1,0.4750
14.26,6.22,7.68,28.99,15.42,16.31,2.57,15.65,5.33,nan,17.62,12.32,34.14,3.31,nan,nan,13.49,35.46,17.31,3.75,50.89,56.13,13.69,22.56,3.54,32.85,15.74,35.17,50.71,8.13,14.89,3.49,43.49,nan,11.66,8.72,3,0.4255
15.36,4.57,0.54,17.72,9.13,8.52,2.70,18.94,2.83,12.40,21.54,11.60,27.37,10.45,0.34,14.06,16.50,63.10,15.22,4.20,21.98,37.08,10.23,20.18,4.36,50.43,17.15,17.87,43.46,17.43,8.39,3.30,25.59,51.33,13.26,17.96,0,0.4048
14.06,3.18,14.76,45.93,9.05,13.23,4.05,20.18,2.42,10.81,20.65,13.68,43.83,12.21,3.06,12.16,15.57,68.51,7.31,3.56,36.97,46.23,9.23,14.91,3.05,53.30,nan,28.66,69.85,15.01,17.33,2.01,24.66,45.68,3.15,7.36,4,0.4434
12.78,4.60,12.30,29.77,2.81,14.16,4.37,15.75,2.87,12.68,16.37,8.70,35.70,11.99,8.88,12.72,16.28,51.61,9.26,3.81,24.25,39.82,15.31,9.62,3.90,44.01,7.55,41.05,64.61,15.55,18.11,1.53,32.55,31.80,8.72,6.13,4,0.4019
19.62,3.39,11.64,48.70,9.86,3.16,4.31,nan,4.43,9.55,10.05,18.74,27.10,11.23,12.12,0.94,26.06,24.77,12.37,3.40,45.01,63.10,10.51,17.04,2.71,31.85,7.42,23.20,31.23,14.88,6.74,3.23,23.58,35.67,3.15,9.13,5,0.3754
9.78,4.41,10.71,21.26,nan,1.58,3.94,12.06,3.80,13.96,23.70,7.11,6.37,17.96,14.71,8.18,11.31,29.65,17.60,4.36,25.56,52.61,15.05,15.78,4.16,45.58,16.85,35.38,47.13,11.27,14.56,3.98,38.04,20.01,4.40,9.83,0,0.3630
9.93,3.25,8.36,18.23,5.93,11.28,4.86,10.97,nan,14.44,7.61,nan,23.35,9.30,6.22,7.50,10.33,nan,16.00,4.21,31.89,57.42,13.10,13.73,3.07,34.99,12.99,35.81,36.68,11.57,nan,3.31,42.13,32.90,8.02,14.67,1,0.3825
9.23,2.27,7.02,46.63,14.10,8.55,4.15,17.24,2.64,10.47,17.33,10.82,35.25,8.92,11.70,9.20,19.13,52.24,13.58,3.52,28.08,42.35,16.25,20.04,1.90,36.75,9.17,26.97,49.43,17.64,16.39,3.94,33.95,30.50,nan,10.82,0,0.4069
14.78,4.55,10.17,29.94,5.54,8.13,4.28,17.49,3.29,10.87,22.22,10.58,24.52,13.68,11.39,5.34,13.34,49.38,13.10,2.91,28.00,43.44,13.63,13.90,3.23,45.81,9.79,38.90,58.91,14.47,18.74,3.56,38.02,25.57,9.74,10.39,4,0.4008
12.85,5.53,4.73,28.15,12.72,16.36,3.88,4.92,1.94,2.79,6.70,21.98,45.44,13.96,12.66,5.17,3.13,24.57,9.52,2.57,44.03,52.16,19.72,12.08,3.70,10.08,7.67,35.65,62.02,21.60,6.46,1.66,40.10,24.19,3.89,11.93,5,0.3864
nan,5.73,6.21,35.90,13.97,9.53,4.69,12.71,4.75,6.28,6.54,19.57,32.31,11.50,3.13,2.26,19.34,39.87,11.72,4.24,63.02,61.01,6.32,10.31,nan,37.34,5.71,39.44,52.40,8.47,13.12,4.23,43.42,33.64,5.46,13.18,5,0.4289
11.54,4.52,14.28,23.43,11.94,9.69,4.23,14.19,3.71,11.57,20.51,12.32,17.80,13.26,11.39,9.05,nan,47.65,13.83,3.82,nan,55.55,9.20,14.75,5.74,46.47,8.49,31.38,47.42,13.66,10.55,2.66,31.99,39.32,11.69,6.16,1,0.3959
13.32,3.62,9.10,41.98,14.76,7.39,4.49,12.20,2.75,12.57,16.02,15.64,26.99,10.39,4.90,7.37,16.90,43.55,12.39,nan,33.21,61.23,15.84,14.31,4.33,45.72,6.74,23.01,54.45,13.39,nan,1.96,33.36,30.15,7.58,5.67,4,0.4052
13.14,4.75,8.73,20.63,12.65,5.96,4.53,8.41,4.47,nan,10.79,17.58,19.13,8.19,6.95,11.90,nan,35.87,16.79,4.38,nan,79.56,11.56,18.85,2.96,50.85,nan,28.07,44.15,9.13,8.22,3.61,31.09,32.64,9.16,nan,5,0.3977
13.06,5.86,nan,39.57,11.19,7.44,5.90,17.87,4.68,9.56,nan,11.80,32.66,9.63,12.13,7.94,20.63,29.40,11.03,2.89,35.66,54.30,14.00,15.50,3.00,35.00,11.89,26.05,40.96,10.00,10.39,3.33,28.84,29.13,3.90,9.76,4,0.3804
4.99,4.58,8.60,29.59,11.10,9.50,2.74,10.17,2.90,9.44,17.78,nan,16.84,12.31,9.90,4.37,16.57,44.47,14.24,3.23,42.22,44.08,11.65,14.27,2.84,32.48,12.62,35.60,44.30,9.49,12.42,2.07,46.16,32.04,6.61,8.49,4,0.3839
12.39,5.93,10.97,45.44,7.83,nan,3.67,16.92,2.98,8.30,19.00,17.05,37.91,8.98,5.22,8.69,10.00,56.04,12.68,4.42,26.22,41.40,15.79,11.36,2.50,49.45,nan,23.96,nan,20.56,14.96,2.25,42.46,32.49,9.52,nan,4,0.4268
10.70,6.57,nan,nan,6.48,11.55,3.35,9.10,2.30,9.22,12.57,7.26,26.99,6.72,8.92,7.53,16.27,25.58,7.69,5.40,24.72,57.63,12.89,10.71,5.07,22.95,12.17,nan,62.44,13.40,10.62,2.56,33.37,32.16,5.94,12.66,4,0.3577
10.89,3.12,4.60,30.02,4.10,11.44,nan,16.28,2.51,5.90,18.80,13.31,33.63,9.86,10.02,11.00,21.60,52.57,10.26,2.68,22.41,36.42,14.40,20.55,4.06,23.25,8.91,25.73,49.56,10.49,12.74,2.18,21.93,43.61,8.72,nan,0,0.3632
8.60,3.16,12.87,39.57,17.50,19.26,5.55,15.87,3.11,10.85,1.25,nan,57.28,15.51,13.17,7.07,25.80,46.18,16.72,3.85,66.26,23.31,19.26,13.47,2.97,34.88,10.53,38.48,16.87,11.00,21.93,4.23,74.06,32.73,14.84,12.94,1,0.4834
11.06,5.53,9.52,18.02,nan,10.16,4.76,12.97,4.73,14.85,11.92,16.92,25.60,12.81,5.71,9.88,5.55,nan,17.41,4.04,23.88,58.61,16.34,19.70,3.31,44.54,13.09,29.12,40.01,11.90,12.08,3.49,42.82,35.60,11.40,11.22,1,0.4051
12.36,6.06,9.75,30.74,8.35,9.54,2.03,17.18,4.65,nan,24.51,7.94,28.03,9.54,8.78,nan,11.51,43.88,12.32,3.09,27.54,48.55,12.04,14.99,5.44,42.44,7.82,30.84,71.16,11.34,14.06,4.72,24.81,28.43,2.27,10.34,4,0.3865
13.18,5.70,nan,45.36,10.19,5.91,4.66,19.85,6.04,12.96,20.53,13.36,32.09,14.41,nan,9.58,24.77,56.10,10.19,1.05,32.99,33.18,12.12,15.94,3.46,51.30,13.62,22.69,38.34,19.33,14.94,2.13,31.94,44.35,9.41,6.66,0,0.4176
6.56,nan,14.19,34.70,10.21,12.87,4.17,23.32,2.55,14.34,14.30,23.41,35.45,17.37,12.94,10.59,30.34,49.32,16.95,3.61,62.61,8.68,9.34,10.86,2.25,48.93,18.04,33.69,8.94,11.96,15.85,1.89,51.05,42.54,4.07,11.55,1,0.4302
6.83,nan,15.91,39.66,12.75,9.19,nan,11.94,3.02,13.28,12.35,18.36,19.28,1.23,7.13,8.20,25.71,34.09,17.62,3.16,42.60,50.45,8.90,10.61,3.62,50.02,12.32,29.66,37.73,10.75,11.04,5.50,47.78,35.36,9.27,4.92,5,0.4061
10.50,6.08,13.39,36.70,17.15,14.06,4.30,15.85,2.97,9.37,nan,23.90,48.98,15.24,13.64,7.82,22.56,29.39,14.15,5.25,62.39,24.29,19.16,6.81,2.38,44.44,15.60,32.67,25.07,8.61,17.14,3.25,69.12,24.56,nan,9.97,1,0.4532
8.91,4.63,11.68,33.27,13.67,11.32,3.62,13.10,0.93,15.99,13.05,15.07,18.23,14.34,9.06,4.47,nan,55.10,14.38,3.20,42.59,60.05,9.83,19.39,2.89,37.57,9.40,36.59,34.19,13.04,11.83,4.06,34.62,nan,nan,6.17,2,0.4052
12.63,3.56,14.71,30.11,6.44,12.44,3.96,19.96,2.65,10.46,16.46,11.75,36.14,11.17,7.70,9.72,7.93,41.50,14.43,2.00,28.99,49.45,15.27,10.53,1.31,47.72,6.03,29.46,59.77,15.04,12.85,2.44,42.47,27.31,nan,11.77,4,0.4115
12.16,2.83,11.87,20.24,nan,14.48,2.82,12.21,4.17,9.08,12.81,17.14,29.42,8.38,11.10,7.50,16.20,24.27,14.70,6.02,38.32,48.67,16.38,9.88,0.19,34.44,12.27,35.44,45.13,6.82,10.06,3.31,44.43,23.96,8.95,8.00,1,0.3823
14.80,4.27,17.17,16.21,13.49,7.80,2.00,8.12,4.80,13.96,25.07,7.01,11.21,nan,13.43,6.81,8.98,23.29,19.15,4.16,29.46,58.90,14.99,13.28,3.61,49.46,12.01,40.65,64.20,14.45,14.89,5.07,42.35,17.84,6.94,10.97,0,0.3944
8.05,3.19,8.83,28.80,12.04,13.65,0.38,13.23,4.16,12.30,15.57,18.52,28.05,8.74,7.98,5.65,19.11,54.48,10.14,3.41,42.71,45.57,8.85,15.58,0.64,37.42,14.58,41.26,41.94,8.30,15.68,5.49,41.37,37.71,nan,11.70,4,0.4145
12.88,4.77,13.67,36.89,13.12,4.39,3.99,14.45,3.86,9.87,14.03,16.05,30.68,14.48,nan,13.19,16.35,35.83,15.39,5.58,38.38,52.65,12.91,13.75,1.18,52.72,9.08,13.30,43.26,13.73,8.78,4.45,40.88,43.98,5.53,8.49,1,0.4140
12.22,4.75,12.14,37.73,9.31,10.29,5.03,14.36,3.49,5.90,19.83,12.72,32.20,11.50,14.18,nan,17.25,31.04,9.85,4.29,32.57,53.04,17.40,21.75,2.85,20.17,11.87,24.22,48.14,10.44,11.37,2.30,32.41,31.59,5.80,9.12,0,0.3711
13.10,3.60,12.76,22.03,11.20,12.73,3.56,13.17,4.70,14.00,9.81,nan,30.69,7.73,9.62,9.95,8.11,26.87,16.94,5.04,42.47,58.61,12.68,12.98,4.94,49.50,17.85,35.35,39.87,14.84,9.49,3.79,41.97,26.07,6.45,9.08,1,0.4164
13.08,3.85,9.79,33.92,8.30,11.56,4.20,16.19,3.64,4.10,19.98,nan,37.25,12.90,7.48,7.27,8.99,38.57,10.46,5.11,41.22,45.20,14.79,12.39,2.51,38.07,11.50,34.94,76.65,12.88,nan,3.60,43.52,23.79,3.11,9.79,4,0.4109
10.24,3.89,14.48,36.54,13.42,14.94,5.14,10.60,3.04,8.04,12.64,21.71,35.50,10.04,4.47,5.24,nan,28.18,17.10,4.06,61.59,47.75,15.25,13.05,4.02,40.84,14.00,nan,48.93,13.04,8.85,nan,55.30,30.86,2.30,5.47,1,0.4312
nan,1.57,14.06,34.55,9.80,12.31,3.70,18.51,4.41,12.72,22.11,7.55,24.19,13.52,11.30,10.59,26.54,66.16,6.56,5.94,27.69,49.50,4.48,25.72,3.48,29.54,12.00,25.97,37.48,16.82,9.61,4.05,7.65,62.98,6.23,6.66,2,0.3769
11.86,4.92,11.98,42.71,11.18,8.34,3.56,19.14,2.23,7.96,20.14,19.05,40.87,6.62,8.25,10.75,14.52,50.40,11.78,3.47,24.56,45.76,14.14,20.99,3.73,45.34,9.37,10.83,44.38,14.17,11.01,nan,32.46,45.23,9.84,10.86,4,0.4144
12.14,2.14,16.29,30.81,8.07,5.70,nan,8.90,4.92,7.58,24.71,6.92,31.55,12.65,9.38,9.23,11.03,24.64,8.79,4.92,8.76,nan,22.52,21.37,2.68,28.77,10.35,16.46,66.87,6.28,15.00,3.86,37.30,35.00,6.17,13.66,3,0.3677
10.90,4.25,14.28,28.81,nan,9.92,3.79,17.74,3.64,10.35,17.54,17.59,30.12,11.15,14.46,11.01,17.36,47.29,14.81,3.02,35.28,42.61,8.97,17.41,4.03,46.25,11.12,30.63,34.87,13.39,14.47,1.69,35.07,41.76,9.78,9.98,4,0.4107
12.86,4.32,11.56,33.98,12.08,9.60,2.61,18.60,4.07,9.07,14.25,11.37,29.07,10.47,11.77,5.97,16.57,39.26,11.64,2.84,38.90,58.64,9.91,14.29,3.70,39.85,10.55,31.16,43.92,13.26,10.56,4.87,33.90,31.78,8.49,8.67,1,0.3995
14.70,4.50,15.55,25.29,11.32,15.38,3.35,12.34,2.50,10.54,10.87,21.10,34.52,10.14,9.97,9.25,14.68,15.46,24.36,4.54,61.22,35.98,16.14,9.81,5.84,48.56,15.86,30.68,38.62,17.65,9.19,1.86,54.97,23.92,3.76,7.69,1,0.4283
12.61,3.00,11.36,34.73,17.52,1.84,1.83,4.81,1.39,8.57,nan,18.23,19.00,7.32,5.73,5.53,13.69,21.55,15.04,5.39,32.91,90.48,14.74,21.76,3.82,38.14,10.00,13.37,38.64,3.64,5.90,4.81,42.14,36.77,11.34,5.54,5,0.3873
nan,3.98,9.59,30.63,9.04,11.78,2.25,15.63,3.91,11.98,12.85,12.82,31.34,7.88,12.54,3.84,17.12,38.09,13.57,6.35,34.67,57.11,13.43,19.05,3.98,32.91,11.51,40.29,nan,nan,15.47,3.30,33.09,26.22,9.48,13.23,1,0.4000
12.71,4.84,7.35,19.47,12.44,10.61,5.56,11.64,5.60,13.37,19.60,14.06,21.82,13.47,12.88,5.75,10.54,40.65,13.95,2.28,26.45,54.30,15.51,19.09,3.24,33.40,14.42,35.02,45.08,15.68,9.93,3.43,31.10,27.64,9.61,13.33,0,0.3842
9.43,3.14,13.66,34.06,15.28,5.15,2.93,nan,4.72,7.37,13.54,19.22,18.79,8.21,9.08,9.24,27.28,23.98,22.48,5.03,53.93,41.58,10.57,10.60,3.45,50.75,12.39,22.62,31.15,6.46,nan,4.43,57.34,34.15,9.26,6.37,5,0.4090
9.78,3.69,9.86,35.32,9.38,5.71,4.21,13.46,nan,12.95,22.68,17.12,12.64,10.29,11.36,5.38,18.83,47.42,14.08,2.91,28.56,54.09,11.36,20.95,6.01,39.68,12.18,27.05,40.84,11.72,10.05,3.00,23.98,35.51,6.20,5.04,3,0.3695
7.31,4.71,15.46,25.82,9.84,11.90,4.34,19.51,2.54,15.21,19.19,17.20,26.02,13.30,13.75,10.37,24.21,55.27,17.09,4.47,25.63,34.32,nan,20.06,4.05,43.90,12.62,23.34,18.04,12.83,12.37,2.98,41.09,46.69,16.39,9.99,2,0.4046
14.16,5.93,13.39,20.60,8.33,11.20,2.74,13.70,5.50,11.66,16.66,17.26,21.97,8.37,14.36,8.16,15.03,nan,17.93,4.02,32.00,46.62,9.32,14.74,2.38,43.67,11.58,36.79,41.32,19.31,11.03,4.50,34.32,35.29,11.57,10.59,4,0.3970
12.42,4.56,nan,23.72,5.57,14.12,3.46,17.35,nan,12.11,18.24,7.40,16.36,14.01,14.81,6.78,19.70,41.68,14.36,7.24,31.46,68.50,6.37,27.08,4.15,21.69,nan,28.54,37.36,17.86,3.00,3.08,2.29,50.30,2.11,5.47,2,0.3468
14.45,4.24,13.47,nan,10.63,8.62,4.11,15.42,3.49,9.37,23.75,8.01,25.85,13.69,11.85,9.05,17.33,39.62,14.67,2.90,26.72,48.91,13.98,16.60,2.03,36.96,3.01,30.39,64.94,nan,14.16,5.61,25.83,30.66,3.98,nan,2,0.3835
16.40,4.60,14.59,30.04,13.92,16.66,5.47,19.63,3.31,10.59,27.42,11.39,42.58,11.82,6.84,8.62,9.67,nan,10.70,nan,37.52,43.70,13.42,nan,3.38,58.67,11.50,29.89,65.40,nan,18.30,3.65,38.73,35.05,11.88,8.52,4,0.4665
6.55,3.10,17.76,25.51,9.65,9.72,4.47,15.90,3.70,15.27,23.04,20.77,22.84,12.96,9.01,13.00,17.05,55.83,11.81,1.74,23.82,46.82,10.58,19.82,4.44,52.27,14.63,16.06,26.93,9.94,8.04,2.96,31.42,55.56,10.62,5.19,4,0.3990
nan,3.67,7.91,35.22,9.15,7.88,2.52,15.72,4.82,9.36,11.10,13.78,29.70,10.36,8.43,nan,14.44,40.21,16.40,3.13,37.63,50.52,14.22,16.31,3.61,40.76,12.17,27.60,42.86,13.34,13.09,3.35,43.01,30.92,7.87,8.65,1,0.4036
13.59,2.06,7.46,37.56,9.63,7.57,4.05,18.32,1.53,11.85,19.77,9.43,25.37,9.60,17.77,6.17,17.50,39.41,14.39,3.93,23.22,50.67,nan,19.71,3.26,32.26,9.06,35.81,48.19,15.96,14.11,3.59,19.84,18.98,5.79,10.89,0,0.3652
11.90,5.44,5.66,51.98,13.74,9.74,4.51,23.97,0.74,6.21,22.62,23.23,53.88,9.56,11.69,7.79,17.57,54.64,10.60,4.34,42.32,13.26,15.31,20.93,1.53,40.57,18.60,12.83,33.84,21.55,13.80,4.20,38.05,41.51,5.98,16.05,4,0.4336
